Area,Male,Female
Information Retrieval,7,0
Knowledge Representation,2,0
NLP,19,3
Theory,1,0
Computer Architecture,55,5
Security,63,8
Software Engineering,27,2
Computer Education,21,1
Computer Vision,33,1
Computing,39,5
Algorithms,122,13
Human Computer Interaction,32,1
AI,70,10
Database,41,3
Multimedia,6,2
Modeling,2,0
Data Analytics,11,3
ML,29,8
Distributed Systems,34,1
Programming Languages,36,5
Game Design,2,0
Energy Efficient Systems,2,0
Systems,51,2
Networks,63,5
Emerging Technology,1,0
Computational Biology,47,0
Graphics,42,4
Robotics,1,0
