Area,Male,Female
Computational Biology,8,0
Graphics,11,0
Algorithms,36,5
Human Computer Interaction,5,0
Computing,6,2
Knowledge Representation,0,0
Systems,11,0
Multimedia,2,0
Distributed Systems,6,0
Energy Efficient Systems,0,0
Modeling,0,0
Computer Architecture,14,3
Computer Vision,5,0
ML,7,2
Robotics,0,0
Emerging Technology,0,0
Security,15,4
Computer Education,1,0
Networks,13,1
Data Analytics,1,1
Information Retrieval,1,0
Game Design,0,0
Theory,0,0
Database,15,1
Software Engineering,4,0
AI,17,5
Programming Languages,7,1
NLP,3,2
